valore,anno,mese
21.67814,2007,8
17.429302,2007,9
13.683256,2007,10
8.570232,2007,11
5.443721,2007,12
6.214419,2008,1
6.012558,2008,2
7.8753486,2008,3
11.280465,2008,4
15.996279,2008,5
19.705582,2008,6
22.094883,2008,7
22.40279,2008,8
17.84,2008,9
14.842791,2008,10
9.853488,2008,11
5.9813952,2008,12
5.104186,2009,1
4.511628,2009,2
7.7293024,2009,3
12.008371,2009,4
17.057674,2009,5
19.31907,2009,6
22.346977,2009,7
23.292559,2009,8
19.61907,2009,9
13.629766,2009,10
10.150698,2009,11
6.015349,2009,12
4.1566267,2010,1
5.734538,2010,2
7.664257,2010,3
11.665462,2010,4
14.677912,2010,5
19.177109,2010,6
23.17028,2010,7
21.765461,2010,8
17.750603,2010,9
13.479919,2010,10
10.178715,2010,11
5.204016,2010,12
5.021687,2011,1
5.7016063,2011,2
7.981125,2011,3
12.354217,2011,4
15.994779,2011,5
19.582731,2011,6
21.242971,2011,7
22.496386,2011,8
20.497189,2011,9
14.080724,2011,10
10.293976,2011,11
7.02249,2011,12
4.753012,2012,1
2.5614457,2012,2
9.346988,2012,3
11.278314,2012,4
15,2012,5
20.595583,2012,6
22.869478,2012,7
23.521687,2012,8
19.163855,2012,9
15.179919,2012,10
11.443374,2012,11
5.584337,2012,12
