valore,anno,mese
47.137672,1985,8
27.835348,1985,9
64.1093,1985,10
130.49255,1985,11
53.5307,1985,12
105.00838,1986,1
102.76372,1986,2
78.101395,1986,3
106.16884,1986,4
46.687443,1986,5
59.256744,1986,6
51.875813,1986,7
46.182793,1986,8
55.76232,1986,9
60.885113,1986,10
88.15628,1986,11
51.650696,1986,12
74.59581,1987,1
104.44419,1987,2
52.162792,1987,3
69.36,1987,4
72.89488,1987,5
67.08511,1987,6
67.912094,1987,7
62.72,1987,8
45.296745,1987,9
133.54837,1987,10
130.64604,1987,11
61.90325,1987,12
92.27348,1988,1
58.691162,1988,2
96.07535,1988,3
70.52884,1988,4
87.55116,1988,5
68.11488,1988,6
39.041393,1988,7
42.466045,1988,8
58.366974,1988,9
84.93953,1988,10
58.918602,1988,11
69.84372,1988,12
24.673954,1989,1
53.99395,1989,2
36.84651,1989,3
130.73674,1989,4
39.452557,1989,5
65.88651,1989,6
58.06837,1989,7
67.87767,1989,8
94.979996,1989,9
51.67163,1989,10
80.88976,1989,11
65.43953,1989,12
39.92837,1990,1
36.648373,1990,2
37.45907,1990,3
108.56465,1990,4
48.533955,1990,5
52.992096,1990,6
39.260464,1990,7
43.376747,1990,8
51.04372,1990,9
140.77023,1990,10
134.59302,1990,11
134.50838,1990,12
50.5693,1991,1
65.48837,1991,2
70.37767,1991,3
78.04651,1991,4
81.82,1991,5
60.401398,1991,6
51.213024,1991,7
28.21814,1991,8
98.36186,1991,9
127.60419,1991,10
111.47536,1991,11
44.794884,1991,12
43.920002,1992,1
30.673489,1992,2
65.40419,1992,3
89.03163,1992,4
40.36837,1992,5
68.06883,1992,6
60.672558,1992,7
46.73814,1992,8
63.241394,1992,9
171.08977,1992,10
69.88884,1992,11
107.30465,1992,12
26.25907,1993,1
38.046974,1993,2
64.98279,1993,3
71.78744,1993,4
41.458607,1993,5
48.04,1993,6
40.060932,1993,7
35.750698,1993,8
126.21999,1993,9
166.81815,1993,10
117.572556,1993,11
74.578606,1993,12
107.96698,1994,1
69.72837,1994,2
15.958605,1994,3
94.290695,1994,4
59.744183,1994,5
40.744186,1994,6
30.793955,1994,7
50.46186,1994,8
104.35396,1994,9
74.85582,1994,10
77.7293,1994,11
70.53721,1994,12
81.76744,1995,1
56.193024,1995,2
70.366974,1995,3
79.670235,1995,4
77.374886,1995,5
58.113953,1995,6
50.424187,1995,7
79.860466,1995,8
111.40651,1995,9
34.245117,1995,10
99.403725,1995,11
118.47953,1995,12
105.52372,1996,1
83.57163,1996,2
65.67907,1996,3
76.072556,1996,4
67.839066,1996,5
48.262325,1996,6
56.919067,1996,7
87.94233,1996,8
107.958145,1996,9
136.16,1996,10
117.323715,1996,11
127.98558,1996,12
80.38279,1997,1
22.775349,1997,2
27.116278,1997,3
66.506516,1997,4
37.012558,1997,5
78.899536,1997,6
56.174885,1997,7
47.838142,1997,8
34.915813,1997,9
76.986046,1997,10
142.30185,1997,11
122.45674,1997,12
69.823715,1998,1
39.71535,1998,2
43.548836,1998,3
99.86977,1998,4
57.90325,1998,5
50.26744,1998,6
47.35349,1998,7
58.41209,1998,8
117.84605,1998,9
117.44326,1998,10
78.59163,1998,11
64.58511,1998,12
74.99489,1999,1
50.881397,1999,2
63.37163,1999,3
80.69907,1999,4
65.500465,1999,5
60.875347,1999,6
46.921394,1999,7
57.28651,1999,8
97.50419,1999,9
90.23582,1999,10
112.32837,1999,11
78.30651,1999,12
29.246511,2000,1
38.266514,2000,2
51.56651,2000,3
80.12465,2000,4
54.592094,2000,5
38.895348,2000,6
68.578606,2000,7
46.757675,2000,8
65.03303,2000,9
133.90558,2000,10
173.37349,2000,11
99.70186,2000,12
123.48,2001,1
57.959534,2001,2
99.54512,2001,3
70.38512,2001,4
52.98651,2001,5
49.017677,2001,6
54.14977,2001,7
31.557674,2001,8
100.47256,2001,9
41.888836,2001,10
66.20186,2001,11
50.013023,2001,12
35.383255,2002,1
54.44093,2002,2
38.2907,2002,3
77.77675,2002,4
